epoch,train_mse,val_mse,best_val_loss,lr
1,0.2850121945395308,0.24342316389083862,inf,0.0009972883382072953
2,0.2680634702161207,0.2373713254928589,0.24342316389083862,0.0009891830623632338
3,0.2595576079467596,0.23623166978359222,0.2373713254928589,0.0009757729755661011
4,0.25661670353453037,0.235823392868042,0.23623166978359222,0.0009572050015330874
5,0.254770609786955,0.23591864109039307,0.235823392868042,0.0009336825748732972
6,0.25298620293201024,0.23514850437641144,0.235823392868042,0.000905463412215599
7,0.25254221854068465,0.23402246832847595,0.23514850437641144,0.0008728566886113102
8,0.2511543001411325,0.23396314680576324,0.23402246832847595,0.0008362196501476349
9,0.2508467600002127,0.23341266810894012,0.23396314680576324,0.0007959536998847742
10,0.250935687478316,0.23316770792007446,0.23341266810894012,0.0007525
11,0.25053691535683004,0.23279188573360443,0.23316770792007446,0.0007063346383225212
12,0.2503371329630836,0.23261989653110504,0.23279188573360443,0.000657963412215599
13,0.2505566894502963,0.23252643644809723,0.23261989653110504,0.0006079162869547908
14,0.25034302397299624,0.23236753046512604,0.23252643644809723,0.0005567415893174885
15,0.25011517536842215,0.23226000368595123,0.23236753046512604,0.0005050000000000001
16,0.24912067831067716,0.23235736787319183,0.23226000368595123,0.00045325841068251166
17,0.24978322459984634,0.23218488693237305,0.23226000368595123,0.0004020837130452091
18,0.24967284172268236,0.23198287189006805,0.23218488693237305,0.0003520365877844011
19,0.24942144448474302,0.2318202406167984,0.23198287189006805,0.00030366536167747893
20,0.24898678114858724,0.23185820877552032,0.2318202406167984,0.00025750000000000013
21,0.2492265741703874,0.2318107783794403,0.2318202406167984,0.00021404630011522585
22,0.24946766548742683,0.23178640007972717,0.2318107783794403,0.00017378034985236535
23,0.24913778130785894,0.23174762725830078,0.23178640007972717,0.0001371433113886899
24,0.24906754885184562,0.23165813088417053,0.23174762725830078,0.00010453658778440107
25,0.2490420037154424,0.23163799941539764,0.23165813088417053,7.631742512670284e-05
26,0.24919392269546703,0.23161502182483673,0.23163799941539764,5.279499846691251e-05
27,0.24908700181266008,0.23160342872142792,0.23161502182483673,3.4227024433899005e-05
28,0.2490608022879746,0.23159663379192352,0.23160342872142792,2.0816937636766185e-05
29,0.24876138820486554,0.23159421980381012,0.23159663379192352,1.2711661792704668e-05
30,0.24837528257551839,0.231590136885643,0.23159421980381012,0.001
31,0.249291479966398,0.23361247777938843,0.231590136885643,0.0009972883382072953
32,0.24966183873051304,0.2332862913608551,0.231590136885643,0.0009891830623632338
33,0.24950048744173373,0.23317651450634003,0.231590136885643,0.0009757729755661011
34,0.24923394885608705,0.23312141001224518,0.231590136885643,0.0009572050015330874
35,0.2495841761514292,0.23290452361106873,0.231590136885643,0.0009336825748732972
36,0.24933500651080728,0.2327817678451538,0.231590136885643,0.000905463412215599
37,0.24906085987212295,0.23280653357505798,0.231590136885643,0.0008728566886113102
38,0.24889467315653624,0.23260965943336487,0.231590136885643,0.0008362196501476349
39,0.24880454916570147,0.2326485514640808,0.231590136885643,0.0007959536998847742
40,0.24883519024667095,0.23257209360599518,0.231590136885643,0.0007525
41,0.24898167699575424,0.23231017589569092,0.231590136885643,0.0007063346383225212
42,0.2487285278611264,0.2324780374765396,0.231590136885643,0.000657963412215599
43,0.24900638829853575,0.23237594962120056,0.231590136885643,0.0006079162869547908
44,0.24839364282660564,0.23242945969104767,0.231590136885643,0.0005567415893174885
45,0.2486697364661653,0.23230411112308502,0.231590136885643,0.0005050000000000001
46,0.24851814670077824,0.23223702609539032,0.231590136885643,0.00045325841068251166
47,0.24854265506994927,0.2321874350309372,0.231590136885643,0.0004020837130452091
48,0.24814198671256082,0.23214685916900635,0.231590136885643,0.0003520365877844011
49,0.2480107367796413,0.23217613995075226,0.231590136885643,0.00030366536167747893
50,0.2481391308671337,0.23215645551681519,0.231590136885643,0.00025750000000000013
51,0.24799506202087565,0.23214265704154968,0.231590136885643,0.00021404630011522585
52,0.2478265806527461,0.2321135550737381,0.231590136885643,0.00017378034985236535
53,0.24812243234808162,0.23210564255714417,0.231590136885643,0.0001371433113886899
54,0.24786364691237273,0.2320755273103714,0.231590136885643,0.00010453658778440107
55,0.2478506695163452,0.23208126425743103,0.231590136885643,7.631742512670284e-05
56,0.2474847586225655,0.2320978343486786,0.231590136885643,5.279499846691251e-05
57,0.2481861864611254,0.23208186030387878,0.231590136885643,3.4227024433899005e-05
58,0.2479221699601513,0.23207925260066986,0.231590136885643,2.0816937636766185e-05
59,0.24770216555413554,0.23207440972328186,0.231590136885643,1.2711661792704668e-05
60,0.24792007786237588,0.232074573636055,0.231590136885643,0.001
